"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
656941,"Schwarber, Kyle","L","L",20.9250652807248,26.56590463560279,30.336543699422133,-9.696875519530844,33.782336141835955,12.857270861111148
547180,"Harper, Bryce","L","L",23.580373382912548,30.23348474010767,32.96693330000415,-16.74633808887595,34.567679147783146,10.98730576487059
646240,"Devers, Rafael","L","L",23.902245040660706,26.78831023602642,31.559934347045655,-64.1935752923577,27.659457051092797,3.757212010432094
663728,"Raleigh, Cal","R","R",26.59153319445239,25.341285192726474,24.761052480450253,-2.556016575961254,39.00235629570119,12.410823101248797
592206,"Castellanos, Nick","R","R",30.019574429801427,28.22436830430876,26.612636588736095,-19.168183438026375,29.94443004649285,-0.07514438330857769
621566,"Olson, Matt","L","L",31.139659400811816,30.693332361538648,31.279925740371947,-10.581548896984035,33.143757488292906,2.004098087481099
660271,"Ohtani, Shohei","L","L",30.176769947166704,33.06119124617471,36.63075737648958,-14.490215630701577,28.11542260364891,-2.061347343517796
682985,"Greene, Riley","L","L",29.956277196796883,25.393240084734924,28.048298453484378,-8.84239343887708,32.656625012176434,2.7003478153795455
596019,"Lindor, Francisco","R","R",28.105418044122242,25.448690654043734,26.27007631462268,-11.46253339952162,31.085906858438854,2.9804888143166117
695578,"Wood, James","L","L",31.179114411999283,30.37747894653268,28.224053676231204,-21.405905992295963,33.21590237300245,2.0367879610031716
665742,"Soto, Juan","L","L",24.91453738230651,30.54874350213384,41.996628701068126,-10.166761909345226,23.317777466287307,-1.5967599160192079
607208,"Turner, Trea","R","R",28.709573086250145,28.21398341365388,38.41386534386296,0.5649972633978492,29.436742400366327,0.7271693141161801
607043,"Nimmo, Brandon","L","L",28.406567186344596,31.481948103055423,25.276115328776175,-12.217092048034448,26.568168378584538,-1.838398807760065
691718,"Crow-Armstrong, Pete","L","L",30.762968710007225,26.879505441058384,33.09313329630053,-2.8285827023151406,37.47560991887487,6.71264120886764
682829,"De La Cruz, Elly","R","R",29.36923750422847,30.053665111046595,30.10335551988039,-20.894514378778858,36.36486336586855,6.99562586164009
624413,"Alonso, Pete","R","R",24.671839835840654,26.82526099926018,30.319780628930957,2.0599878810703984,28.543029536642482,3.871189700801832
680776,"Duran, Jarren","L","L",28.763308431864772,30.976537696656393,24.160199945792666,-2.228789755897205,30.857515029595486,2.094206597730715
683002,"Henderson, Gunnar","L","L",26.68190524255903,26.75427088245427,30.960835826216094,-4.259195966055287,34.73254109652305,8.05063585396402
553993,"Suárez, Eugenio","R","R",18.37435553070032,23.40919972731617,22.549237841982837,-24.000438445259682,33.651932851577506,15.277577320877185
592885,"Yelich, Christian","L","L",27.92203861810956,30.424079287400065,32.897349214326226,1.2750509424820171,26.592132869640487,-1.3299057484690784
668227,"Arozarena, Randy","R","R",22.255054388879955,24.034162467905023,19.494511200715714,3.2505816811098263,32.76753349357892,10.512479104698963
671218,"Ramos, Heliot","R","R",24.793195683608076,27.73454614196093,29.623257607621547,-4.6403294380165,28.074216802750872,3.281021119142796
678882,"Rafaela, Ceddanne","R","R",30.49656767302054,26.63747493979081,23.385427614845458,-18.759448089661234,35.07063572003457,4.574068047014033
677594,"Rodríguez, Julio","R","R",20.58742840043348,29.385284450043333,31.158823573298882,1.375826381244189,31.88328492986391,11.29585652943043
596115,"Story, Trevor","R","R",25.479501878316455,29.422050151571813,35.94299595095517,-25.67819251884751,36.78110044517967,11.301598566863225
691406,"Caminero, Junior","R","R",28.276556308768868,28.249452903440407,27.325235198827773,-34.75626447040069,34.668220088432705,6.391663779663844
645277,"Albies, Ozzie","R","R",32.9359030563677,17.452103621966327,29.412036170852467,-55.2297346769254,36.83281627023205,3.8969132138643428
682928,"Abrams, CJ","L","L",28.012029392408405,30.365209749344995,31.975725574660295,-3.999438026232427,33.040436904077154,5.028407511668749
682998,"Carroll, Corbin","L","L",30.979472562457715,30.29820937636976,25.90364477756687,-3.1125453447972955,35.63517593648689,4.655703374029173
663656,"Tucker, Kyle","L","L",27.902451887641565,30.732665064011503,36.33241087590984,-2.0966612423425017,29.050080480063937,1.147628592422372
641487,"Crawford, J.P.","L","L",35.125194436005735,27.931857895213525,29.883058852436168,-30.16284545172853,37.26545430051794,2.1402598645122017
592518,"Machado, Manny","R","R",24.442153170796736,30.707352822917517,31.190063253322073,-39.75689508469867,30.4276401912429,5.985487020446166
518692,"Freeman, Freddie","L","L",28.687146562352986,31.703436952763678,32.925750652561604,0.8780444870575296,26.25803071343592,-2.4291158489170668
608070,"Ramírez, José","R","R",29.698781485197653,24.93090591927721,27.67476613440854,-7.721830817561373,32.23369127059645,2.534909785398796
669364,"Edwards, Xavier","R","R",17.649110897342368,24.269582759163345,28.84211558944831,-9.272682035756443,30.16586661744698,12.516755720104616
691026,"Winn, Masyn","R","R",33.206146138528524,22.582865823527833,15.812589279351128,-55.09190500668523,35.29413974774886,2.0879936092203355
666624,"Morel, Christopher","R","R",27.616829018200153,26.035142285119896,24.180741692233244,-20.16976954163688,34.116728226424826,6.499899208224675
672695,"Perdomo, Geraldo","R","R",22.050527701143118,25.730715021550353,42.110276914292896,-13.395960986068934,28.103054036006206,6.0525263348630896
647304,"Naylor, Josh","L","L",25.68835736890871,26.991038633552794,44.11354254067269,-4.3757726624259865,25.824303812115204,0.13594644320648702
650333,"Arraez, Luis","L","L",34.37295394474223,26.286194516064665,28.05142016087257,-25.426477660164743,32.179175209067125,-2.1937787356750897
